url_length,dot_count,has_at_symbol,has_https,has_sensitive_word,is_suspicious_tld,has_hyphens,is_known_legit,is_known_brand,label
4.02535169073515,2,0,0,0,0,0,0,0,0
3.6109179126442243,2,0,0,0,0,0,0,0,0
4.290459441148391,1,0,0,0,0,1,0,0,0
3.6375861597263857,1,0,0,0,0,0,0,0,0
3.9889840465642745,3,0,0,0,0,0,0,1,1
4.61512051684126,2,0,0,0,0,1,0,0,0
3.5553480614894135,2,0,1,0,0,0,0,0,1
4.418840607796598,2,0,0,0,0,1,0,0,0
4.605170185988092,2,0,0,0,0,1,0,0,0
3.828641396489095,3,0,1,0,0,0,0,0,0
3.367295829986474,1,0,0,0,0,1,0,0,0
3.9318256327243257,2,0,0,0,0,1,0,1,0
3.044522437723423,3,0,0,1,0,1,0,0,1
3.1780538303479458,1,0,0,0,0,0,0,0,1
3.4965075614664802,3,0,1,0,0,1,0,0,1
3.332204510175204,3,0,0,0,0,0,0,0,0
3.713572066704308,3,0,0,0,0,0,0,0,0
3.2188758248682006,2,0,0,0,0,0,0,0,0
4.290459441148391,2,0,1,0,0,1,0,0,0
4.499809670330265,4,0,0,0,0,1,0,0,1
3.332204510175204,2,0,1,0,0,0,0,0,1
3.58351893845611,1,0,0,0,0,1,0,0,0
3.6635616461296463,2,0,0,0,0,0,0,1,0
4.454347296253507,3,0,1,0,0,0,0,0,0
3.6375861597263857,2,0,0,0,0,0,0,0,0
4.634728988229636,2,0,0,0,0,1,0,0,1
2.70805020110221,1,0,0,0,0,0,0,0,0
2.70805020110221,1,0,0,0,0,0,0,0,0
3.8918202981106265,4,0,1,0,0,1,0,0,1
4.219507705176107,2,0,0,0,0,0,0,0,0
3.367295829986474,2,0,0,0,0,0,0,0,0
4.1588830833596715,2,1,0,0,0,0,0,0,1
4.007333185232471,3,0,0,0,0,0,0,0,0
3.367295829986474,2,0,0,0,0,0,0,0,1
2.70805020110221,1,0,0,0,0,0,0,0,0
3.4011973816621555,4,0,1,0,0,0,0,0,1
3.9512437185814275,2,0,0,0,0,1,0,1,0
3.5263605246161616,1,0,0,0,0,1,0,0,0
3.6109179126442243,1,0,0,0,0,0,0,0,0
3.258096538021482,1,0,0,0,0,0,0,0,0
4.290459441148391,1,0,1,0,0,1,0,0,0
3.4657359027997265,2,0,0,0,0,0,0,0,1
3.295836866004329,1,0,0,0,0,1,0,0,0
3.4657359027997265,1,0,0,0,0,0,0,0,0
2.995732273553991,1,0,1,0,0,0,0,0,1
4.1588830833596715,2,0,0,0,0,1,0,1,1
3.828641396489095,2,0,0,0,0,0,0,0,0
3.6888794541139363,4,0,1,0,0,1,0,0,1
4.718498871295094,2,0,0,0,0,0,0,0,1
3.5263605246161616,2,0,0,0,0,0,0,0,0
